student_id,age,gender,region,school_type,socio_economic,parent_education,parent_income,enrollment_date,graduation_year,school_rank,previous_gpa,attendance_rate,study_hours_per_week,num_extracurriculars,internet_access,math_score,physics_score,chemistry_score,biology_score,literature_score,english_score,math_level,physics_level,literature_level,english_level,communication,teamwork,leadership,problem_solving,preferred_option,satisfaction
S101940,16,F,Gabes,Public,High,Secondary,33328.0,2022-06-06,2024,309,17.2,0.932,6.09,1,Home+Mobile,10.87,7.35,15.71,4.43,15.57,10.62,C,D,B,C,9.11,,7.08,5.66,Letters,3.0
S101090,20,M,Tunis,Vocational,Medium,Bachelor,13648.0,2022-05-21,2023,489,"12,25",0.862,5.15,3,Mobile only,12.54,4.98,,16.6,17.93,,C,D,A,C,,,7.01,3.24,Letters,2.0
S101979,19,M,Gafsa,Public,Medium,Secondary,32115.0,2022-08-05,2024,9,13.32,0.939,5.51,1,Home+Mobile,15.99,7.86,15.67,14.79,12.78,8.46,B,D,C,D,5.84,5.01,1.6,10.0,Engineering,3.0
S101780,15,M,Bizerte,Public,Medium,None,23902.0,2021-10-24,2023,323,15.36,0.894,2.5,1,Home+Mobile,17.18,4.94,10.11,9.8,12.33,9.7,A,D,C,D,2.85,7.59,0.23,4.71,Science,3.0
S101242,19,F,Sfax,Private,Medium,Bachelor,29054.0,2022-09-04,2026,319,10.81,0.906,3.55,3,None,15.12,10.92,12.61,,12.58,,B,C,C,C,5.65,6.19,4.18,4.87,Engineering,3.0
S100921,17,F,Nabeul,Private,High,Secondary,16013.0,2022-02-15,2024,69,10.43,0.804,13.89,1,Home+Mobile,13.74,10.71,12.24,,13.76,7.28,B,C,B,D,5.18,6.63,1.89,6.96,Letters,2.0
S101750,18,F,Tunis,Public,High,Bachelor,5752.0,2021-11-27,2025,439,9.69,0.888,1.86,0,Home+Mobile,17.16,12.58,7.07,9.62,10.22,12.16,A,C,C,C,6.01,7.64,6.49,6.56,Engineering,3.0
S100110,17,M,Tozeur,Public,Low,Bachelor,6464.0,2021-09-03,2024,217,16.61,0.973,4.56,3,Mobile only,16.63,13.29,7.22,11.69,15.43,1.87,A,B,B,D,7.03,7.41,7.66,5.95,Arts,3.0
S100744,17,F,Bizerte,Public,Medium,Primary,1000.0,2021-09-14,2024,189,10.76,0.915,2.39,0,Home+Mobile,8.02,16.94,7.81,8.3,16.19,8.47,D,A,A,D,,7.9,6.38,2.51,Arts,2.0
S100620,16,F,Sousse,Vocational,High,Primary,34319.0,2021-09-06,2024,11,14.97,0.941,12.96,0,Home+Mobile,15.62,8.95,13.18,13.22,12.06,13.92,B,D,C,B,6.28,9.16,6.92,5.49,Letters,3.0
S101371,16,F,Nabeul,Public,Medium,Primary,16204.0,2022-02-16,2023,424,13.66,0.932,4.5,2,Home+Mobile,12.65,15.15,9.71,16.62,11.01,11.87,C,B,C,C,7.12,8.59,7.45,3.92,Science,3.0
S100595,17,F,Kairouan,Vocational,Low,Bachelor,26694.0,2022-11-05,2025,370,14.38,0.885,1.63,0,Home+Mobile,10.84,17.81,15.89,7.96,11.8,18.05,C,A,C,A,,5.27,4.7,6.13,Letters,3.0
S101438,17,F,Sfax,Public,Medium,Master,21621.0,2021-10-19,2025,387,11.96,0.837,2.28,1,Mobile only,14.51,11.39,13.96,7.0,11.99,20.0,B,C,C,A,5.51,5.26,5.35,2.87,Science,2.0
S101280,18,M,Bizerte,Vocational,Medium,Primary,34861.0,2022-01-02,2023,350,9.89,0.923,4.95,2,School only,16.17,19.63,7.74,15.76,11.06,13.76,A,A,C,B,6.12,,4.18,5.92,Science,3.0
S101934,18,M,Gabes,Public,Low,Secondary,20543.0,2022-01-28,2023,478,13.87,0.842,1.42,1,Home+Mobile,12.99,14.9,15.02,,17.73,10.36,C,B,A,C,6.15,3.97,5.37,6.49,Science,2.0
S101777,17,F,Kairouan,Private,Medium,Secondary,10813.0,2021-12-20,2025,84,9.6,0.803,0.42,1,Home+Mobile,10.92,7.83,15.62,2.85,14.86,10.1,C,D,B,C,6.14,5.46,8.0,4.71,Letters,1.0
S101047,15,M,Bizerte,Private,Medium,Secondary,10579.0,2023-12-23,2024,465,12.44,0.908,1.67,2,School only,17.66,9.19,7.57,,10.56,13.95,A,D,C,B,4.31,5.54,7.27,6.38,Economics,2.0
S100002,18,F,Gabes,Public,Medium,Primary,27893.0,2022-06-11,2023,207,12.68,0.914,0.12,2,Home+Mobile,17.83,7.72,11.0,13.13,8.13,14.0,A,D,D,B,3.79,5.53,2.87,3.65,Letters,3.0
S100423,17,M,Monastir,Public,Medium,Master,32360.0,2021-11-15,2025,298,15.56,0.923,0.27,2,Home+Mobile,14.65,16.11,15.06,,7.01,,B,A,D,D,5.64,6.32,4.53,5.54,Engineering,3.0
S100377,15,F,Tunis,Public,Low,Bachelor,1221.0,2023-01-06,2025,82,11.4,0.844,0.09,1,Home+Mobile,17.09,9.74,13.28,17.62,3.51,14.25,A,D,D,B,7.41,4.65,4.84,5.54,Letters,2.0
S101872,18,M,Nabeul,Public,Medium,Secondary,45739.0,2022-03-02,2023,343,14.65,0.887,0.17,1,Home+Mobile,14.69,12.62,9.28,11.61,18.11,14.38,B,C,A,B,5.45,4.37,7.69,9.02,Science,3.0
S101385,17,F,Tunis,Vocational,Medium,Master,20625.0,2021-10-07,2025,166,17.38,0.808,12.55,0,Home+Mobile,9.25,7.95,5.16,12.25,12.0,12.69,D,D,C,C,5.49,8.5,9.62,3.94,Letters,3.0
S101038,16,M,Tunis,Public,Low,Secondary,8952.0,2021-11-04,2025,102,14.23,0.894,26.65,0,School only,11.86,14.66,7.06,9.77,8.11,14.02,C,B,D,B,3.4,4.26,4.0,6.72,Letters,3.0
S100308,19,M,Sousse,Public,Medium,Primary,17465.0,2021-09-06,2024,52,12.92,0.993,4.82,3,Home+Mobile,18.63,16.42,,9.3,14.19,9.03,A,A,B,D,4.91,,7.72,7.89,IT,3.0
S101982,17,M,Nabeul,Public,Medium,None,33999.0,2021-09-20,2024,266,10.9,0.923,2.87,2,Home+Mobile,7.89,10.27,5.42,,5.43,14.35,D,C,D,B,6.34,,6.16,10.0,Letters,2.0
S100392,17,M,Nabeul,Public,Low,Bachelor,29821.0,2021-09-13,2025,305,10.42,0.905,4.17,2,Mobile only,15.84,9.29,15.08,10.1,11.93,5.92,B,D,C,D,5.92,5.88,5.14,6.54,Health,2.0
S101126,16,F,Kairouan,Public,Medium,Bachelor,26356.0,2022-03-07,2025,182,9.64,0.891,3.32,0,None,9.68,13.46,10.83,17.9,16.0,6.86,D,B,B,D,,6.74,6.9,6.11,Arts,3.0
S101396,17,F,Gabes,Public,Medium,Secondary,21863.0,2022-06-14,2023,137,14.99,0.829,7.32,3,Mobile only,7.75,16.61,6.75,13.83,17.51,14.34,D,A,A,B,6.25,,5.33,5.99,Arts,1.0
S101850,17,M,Kairouan,Public,Medium,Bachelor,6345.0,2021-10-17,2023,365,11.96,0.897,0.69,0,School only,11.84,15.57,4.38,,8.1,,C,B,D,A,6.36,7.82,5.75,6.94,Letters,3.0
S101227,17,M,Bizerte,Public,Low,Secondary,34287.0,2022-03-19,2026,346,9.2,0.81,0.71,3,Mobile only,15.09,17.67,7.52,9.68,9.27,9.93,B,A,D,D,4.6,5.27,6.32,5.02,Science,2.0
S101554,17,M,Tunis,Vocational,Medium,Secondary,1000.0,2021-09-19,2026,484,15.74,0.951,4.41,0,Home+Mobile,13.7,11.17,14.85,9.0,14.41,7.5,B,C,B,D,4.04,4.66,4.27,7.95,Engineering,2.0
S101361,17,M,Sfax,Public,Low,Master,41116.0,2023-01-01,2026,394,11.38,0.862,9.08,3,Home+Mobile,16.43,7.89,10.67,8.7,11.24,,A,D,C,A,6.27,6.82,5.95,6.46,Arts,2.0
S101678,16,F,Kairouan,Private,Low,None,45923.0,2022-01-13,2023,7,12.94,0.971,1.41,0,Home+Mobile,9.02,11.12,13.5,9.32,8.5,12.0,D,C,D,C,7.96,10.0,5.29,7.68,Economics,3.0
S100718,16,F,Kairouan,Public,Low,Bachelor,16245.0,2021-09-27,2025,498,9.69,0.976,1.67,0,School only,9.37,15.29,15.89,15.29,15.91,7.18,D,B,B,D,,6.72,3.27,7.87,Arts,3.0
S100340,17,F,Gabes,Public,High,None,25878.0,2022-08-28,2023,10,14.88,0.806,1.64,0,Home+Mobile,4.28,17.6,12.38,0.64,9.8,11.02,D,A,D,C,3.86,7.69,5.22,7.23,Economics,2.0
S101228,21,M,Tunis,Public,Medium,Bachelor,18907.0,2021-10-01,2026,295,9.87,0.948,1.62,0,None,11.28,9.87,,16.31,15.58,14.53,C,D,B,B,6.34,7.86,4.72,8.23,Letters,3.0
S100657,17,F,Gabes,Public,Low,None,11532.0,2021-12-03,2023,286,13.47,0.761,3.35,3,Home+Mobile,9.46,15.93,15.1,10.08,17.66,,D,B,A,C,5.66,7.13,1.65,5.06,Letters,3.0
S100544,18,M,Sousse,Public,Low,Primary,32352.0,2022-06-11,2024,462,"17,02",0.9,0.71,0,Home+Mobile,9.28,20.0,13.31,16.66,20.0,5.4,D,A,A,D,9.66,,7.57,3.8,Letters,3.0
S101109,16,F,Nabeul,Private,Low,None,16419.0,2021-10-27,2024,491,12.92,0.82,12.11,0,Home+Mobile,13.68,10.22,5.64,8.94,14.98,8.55,B,C,B,D,2.95,5.7,3.23,5.5,Letters,3.0
S101764,16,F,Gafsa,Public,Medium,Primary,1000.0,2022-11-08,2025,143,17.87,0.865,3.83,0,Home+Mobile,19.21,13.55,7.02,6.71,9.11,8.44,A,B,D,D,6.56,6.28,7.09,6.96,Science,2.0
S100694,16,Other,Sousse,Private,Low,Secondary,29587.0,2022-08-26,2024,222,12.62,0.814,3.11,0,Mobile only,11.87,8.35,12.28,15.97,11.64,7.88,C,D,C,D,5.87,2.42,3.61,5.8,Science,3.0
S100681,17,F,Bizerte,Public,High,Bachelor,8302.0,2021-11-26,2025,141,12.4,0.907,0.07,1,Home+Mobile,12.72,10.64,6.71,5.96,16.1,9.8,C,C,A,D,9.02,8.49,7.73,5.53,Letters,3.0
S101759,18,F,Sfax,Public,Medium,Master,1000.0,2021-09-03,2025,61,9.54,0.878,0.12,4,School only,13.29,15.24,14.67,16.79,8.47,,B,B,D,C,7.65,6.36,6.86,6.66,Science,3.0
S100455,17,M,Sousse,Private,Low,Secondary,15010.0,2021-12-05,2023,23,12.96,0.898,1.79,0,School only,15.88,15.51,11.55,10.23,15.82,13.96,B,B,B,B,6.66,3.8,8.34,7.62,Science,3.0
S101159,15,M,Gafsa,Private,Low,Secondary,32886.0,2022-06-23,2023,251,6.51,1.0,2.39,2,Home+Mobile,15.34,9.9,18.63,,11.34,7.37,B,D,C,D,5.67,5.3,7.72,6.53,Letters,3.0
S100593,17,F,Gafsa,Vocational,High,Master,29856.0,2022-01-06,2024,41,17.6,0.779,2.4,2,School only,13.31,14.67,17.17,14.23,12.12,10.18,B,B,C,C,,6.92,6.3,6.57,Engineering,2.0
S101149,19,M,Gafsa,Public,Low,None,13154.0,2021-09-01,2024,282,16.29,0.888,0.6,3,Mobile only,8.8,12.68,12.29,7.92,11.83,10.18,D,C,C,C,6.03,,0.6,5.03,Letters,3.0
S101409,19,M,Nabeul,Private,Medium,Primary,17691.0,2022-05-06,2025,63,12.26,0.941,6.32,0,Mobile only,15.51,8.73,7.46,17.7,16.13,13.26,B,D,A,B,,5.64,3.3,7.23,Letters,3.0
S101015,20,M,Nabeul,Public,Low,Primary,28673.0,2021-12-28,2025,28,10.84,0.897,4.18,1,Home+Mobile,15.23,14.16,11.8,14.54,12.43,14.81,B,B,C,B,4.59,5.79,4.76,3.81,Science,2.0
S100540,20,F,Tozeur,Public,Medium,Bachelor,3977.0,2021-09-15,2025,44,13.2,0.912,0.11,3,Home+Mobile,12.55,6.83,18.62,,18.84,8.29,C,D,A,D,7.83,1.96,2.9,5.42,Arts,2.0
S100127,19,M, BIZERTE,Public,Low,"unknown
",40044.0,2022-12-08,2024,350,13.05,0.909,1.38,2,School only,13.81,N/A,13.38,12.76,10.09,9.8,B,B,C,D,5.31,6.0,5.3,7.4,Science,3.0
S100556,16,F,Monastir,Public,Medium,Bachelor,13298.0,2021-09-23,2025,194,15.02,0.911,5.57,3,Home+Mobile,16.98,13.26,6.18,15.5,11.36,18.3,A,B,C,A,6.41,7.24,4.16,5.77,Science,3.0
S100196,18,M,Tozeur,Public,Medium,None,23553.0,2022-06-02,2026,443,14.03,0.821,7.13,1,Mobile only,9.66,16.96,12.56,19.2,13.11,11.9,D,A,B,C,6.25,8.84,5.33,5.72,Letters,2.0
S101771,19,F,Sousse,Public,Medium,Secondary,18869.0,2021-11-06,2025,19,11.86,0.891,5.19,0,Home+Mobile,14.68,9.49,16.65,8.47,13.15,5.26,B,D,B,D,4.27,4.97,6.59,6.51,Letters,2.0
S101894,18,F,Monastir,Vocational,Medium,Secondary,30871.0,2022-01-09,2023,176,10.51,0.981,5.25,1,Home+Mobile,15.71,15.86,9.73,10.96,8.92,8.96,B,B,D,D,5.89,4.94,5.77,2.81,Science,3.0
S101483,15,F,Gafsa,Public,Low,Bachelor,26145.0,2021-11-18,2023,269,8.95,0.974,1.63,2,Home+Mobile,19.7,9.51,10.83,11.74,11.25,16.07,A,D,C,A,,3.76,3.81,6.16,Arts,2.0
S101893,17,M,Sousse,Public,Medium,Primary,35680.0,2022-01-19,2025,340,6.14,0.979,1.12,1,Home+Mobile,18.71,4.87,10.83,11.67,11.7,7.24,A,D,C,D,4.51,6.37,8.62,6.72,Science,3.0
S100229,18,M,Kairouan,Vocational,Medium,Bachelor,26476.0,2022-06-29,2023,136,12.27,0.98,4.25,2,Mobile only,8.54,16.74,11.08,5.83,13.95,15.15,D,A,B,B,7.96,7.25,3.75,2.11,Letters,2.0
S100869,20,M,Tunis,Public,High,Secondary,33149.0,2021-10-21,2025,84,11.16,0.955,5.26,3,Home+Mobile,5.22,13.52,20.0,13.39,12.35,6.1,D,B,C,D,1.75,6.49,6.76,6.09,Engineering,3.0
S101799,15,F,Nabeul,Public,Low,Secondary,18056.0,2022-04-26,2023,76,10.04,0.909,4.86,1,Home+Mobile,16.27,7.19,14.38,20.0,11.33,10.63,A,D,C,C,6.63,5.3,8.7,5.53,Science,2.0
S101862,16,M,Monastir,International,High,Secondary,8941.0,2021-09-13,2024,93,11.99,0.892,5.43,1,Home+Mobile,7.45,17.7,18.13,11.84,10.06,13.33,D,A,C,B,6.6,1.88,4.93,1.7,Arts,3.0
S100415,17,Other,Nabeul,Private,Low,Bachelor,15017.0,2021-10-08,2024,216,8.9,0.982,6.92,3,Home+Mobile,15.11,11.7,9.38,10.54,13.45,11.36,B,C,B,C,5.12,10.0,4.06,5.28,Engineering,2.0
S101838,20,F,Gabes,Public,Low,Primary,22837.0,2021-11-06,2025,269,9.09,0.962,0.27,0,School only,10.81,10.42,14.04,9.96,7.89,13.61,C,C,D,B,7.93,4.69,3.63,3.32,Arts,1.0
S101683,19,M,Sfax,Private,Medium,Secondary,33867.0,2022-02-26,2024,399,8.01,0.908,4.85,2,Home+Mobile,16.16,4.3,,13.19,13.74,10.31,A,D,B,C,,7.24,7.8,3.74,Letters,3.0
S101271,19,M,Tozeur,Public,Low,Primary,13319.0,2022-04-14,2025,94,13.06,0.873,2.69,0,Home+Mobile,14.91,9.61,,6.59,15.01,12.03,B,D,B,C,6.75,8.98,5.29,7.77,Letters,2.0
S101637,16,M,Monastir,Public,Medium,Master,19913.0,2021-09-17,2024,468,18.9,0.88,9.36,4,Home+Mobile,18.2,10.71,10.63,12.27,6.18,13.52,A,C,D,B,,5.6,4.81,7.87,Arts,2.0
S100619,18,M,Monastir,Public,Low,Secondary,10413.0,2022-08-10,2025,171,11.57,0.85,0.8,1,School only,11.25,5.2,10.15,4.65,13.32,8.54,C,D,B,D,7.14,6.95,6.06,4.96,Letters,2.0
S101876,18,M,Sousse,International,Low,Secondary,31291.0,2021-09-10,2026,405,10.68,0.849,10.86,0,Home+Mobile,17.59,9.23,9.95,10.36,8.06,11.38,A,D,D,C,6.36,8.33,7.67,8.08,Letters,3.0
S100951,18,F,Tunis,Public,Medium,Secondary,26128.0,2021-09-04,2024,278,16.04,1.0,3.47,1,School only,9.25,10.57,10.28,9.77,14.91,13.94,D,C,B,B,5.3,5.41,5.64,7.45,Arts,3.0
S100795,19,F,Tunis,Public,Low,Primary,27593.0,2021-12-01,2023,474,13.02,1.0,2.16,2,None,15.03,10.38,12.17,13.36,14.73,12.71,B,C,B,C,,5.49,4.58,6.93,Letters,3.0
S100452,17,F,Sousse,Public,High,Master,15182.0,2024-02-25,2023,254,15.96,0.787,1.74,4,School only,11.79,7.87,16.56,15.16,8.33,8.31,C,D,D,D,4.08,4.57,5.32,7.81,IT,3.0
S100895,17,F,Gafsa,Public,Medium,Secondary,3804.0,2021-09-03,2026,186,12.59,0.787,1.93,2,Mobile only,8.13,15.79,8.9,12.37,9.14,9.57,D,B,D,D,5.34,6.37,7.44,3.29,Science,2.0
S101338,16,F,Tozeur,Private,Low,Secondary,40631.0,2023-02-21,2024,431,11.95,0.925,11.04,0,School only,9.92,16.6,12.82,11.27,4.93,12.39,D,A,D,C,4.25,7.28,5.39,6.16,Science,4.0
S101114,18,M,Kairouan,Private,Medium,Primary,16710.0,2022-03-14,2023,452,12.36,0.957,2.31,0,None,15.68,6.77,9.62,10.98,7.11,11.51,B,D,D,C,8.16,4.85,3.02,7.43,Science,3.0
S101853,19,F,Tozeur,Private,Low,Secondary,35013.0,2022-03-01,2025,469,13.73,0.943,2.77,2,Mobile only,8.41,20.0,13.06,6.39,15.61,17.15,D,A,B,A,,6.16,5.58,4.11,Letters,3.0
S101870,19,M,Sfax,Public,Low,Primary,4248.0,2021-09-23,2025,234,14.13,0.866,3.43,0,Mobile only,11.54,10.46,17.71,7.31,12.11,11.74,C,C,C,C,7.39,6.12,3.63,9.41,Science,3.0
S101867,16,F,Sfax,Private,Low,Secondary,7443.0,2021-09-12,2026,353,10.18,0.981,6.72,1,Mobile only,14.24,5.47,7.75,,15.73,10.78,B,D,B,C,6.46,7.86,3.56,3.25,Arts,3.0
S101037,18,Other,Gafsa,Public,Medium,Master,39114.0,2023-09-04,2024,481,15.18,0.955,3.36,0,Home+Mobile,17.16,15.14,6.73,10.52,9.92,13.06,A,B,D,B,6.01,5.33,3.69,9.23,Science,3.0
S101306,18,M,Tozeur,Private,Medium,Primary,25112.0,2021-12-01,2025,241,12.44,0.909,2.71,0,Home+Mobile,11.55,11.68,12.81,14.69,14.97,17.62,C,C,B,A,6.45,2.54,3.54,10.0,Arts,2.0
S100241,20,M,Sousse,Public,Medium,Secondary,17041.0,2023-06-23,2024,313,12.23,0.933,500.0,2,Mobile only,120.0,12.92,14.53,5.64,13.53,12.13,C,C,B,C,9.51,4.71,3.09,8.61,Arts,3.0
S101018,20,M,Nabeul,Public,Low,Secondary,-5000.0,2021-09-05,2024,239,15.08,-0.2,3.57,1,Home+Mobile,19.0,6.36,10.83,11.61,16.66,11.21,A,D,A,C,6.2,6.08,4.3,4.68,Letters,2.0
S101215,17,M,Nabeul,International,Medium,Primary,7860.0,2021-09-30,2024,328,12.18,0.871,0.43,0,Mobile only,13.8,12.38,3.8,13.35,12.63,13.51,B,C,C,B,6.28,5.6,5.45,4.64,Science,2.0
S101913,17,Other,Sfax,Public,Medium,Secondary,10131.0,2022-05-10,2025,144,12.96,0.928,8.07,0,Home+Mobile,17.46,13.64,7.36,8.25,9.61,10.18,A,B,D,C,5.47,1.62,8.44,6.84,Engineering,3.0
S100108,17,M,Gabes,Public,Medium,Primary,30261.0,2021-12-24,2024,101,12.48,0.968,1.56,0,School only,12.94,8.41,8.05,,12.27,7.36,C,D,C,D,5.22,9.01,3.34,6.83,IT,3.0
S100684,20,M,Sfax,Public,Medium,Master,19132.0,2021-12-18,2025,397,13.2,0.958,4.74,2,Home+Mobile,14.48,11.1,9.53,,10.1,16.92,B,C,C,A,4.58,,7.81,3.03,Engineering,2.0
S100037,16,M,Gabes,Public,High,Master,2920.0,2022-07-17,2024,197,17.28,0.987,0.87,1,Home+Mobile,16.49,12.84,,8.06,17.4,15.71,A,C,A,B,6.98,8.74,4.77,3.22,Engineering,3.0
S100855,16,F,Tozeur,Public,Low,Secondary,14177.0,2021-11-21,2026,6,13.17,0.879,1.22,2,Home+Mobile,9.64,9.76,9.39,15.87,9.47,15.46,D,D,D,B,5.47,,4.85,4.32,Arts,2.0
S101911,19,M,Kairouan,Public,Low,Bachelor,16666.0,2023-05-06,2024,407,13.53,0.847,8.78,2,None,14.29,9.48,1.51,13.63,13.86,13.57,B,D,B,B,5.67,7.8,4.51,5.01,Arts,3.0
S101260,17,M, GABES,Private,Medium,"unknown
",28511.0,2022-05-28,2025,150,9.34,0.864,2.91,0,Home+Mobile,16.02,N/A,7.26,10.06,11.03,9.16,A,D,C,D,5.1,5.13,5.98,5.84,Engineering,3.0
S100140,20,F,Monastir,Public,Low,Secondary,47193.0,2021-12-18,2024,226,14.79,0.937,0.32,1,Mobile only,8.44,13.09,10.81,9.21,16.56,7.81,D,B,A,D,5.86,3.5,7.69,5.32,Health,3.0
S101164,16,M,Tunis,Publc,Medium,None,1000.0,2022-04-02,2025,14,9.8,0.899,4.34,1,School only,12.85,17.08,11.41,9.51,12.14,13.05,C,A,C,B,8.24,5.8,3.24,4.38,Engineering,2.0
S100058,15,F,Gafsa,Public,High,Bachelor,22494.0,2021-12-30,2024,76,14.1,0.904,2.43,1,Home+Mobile,17.91,8.01,9.54,7.4,15.31,8.61,A,D,B,D,5.31,6.49,3.48,5.61,Letters,3.0
S101518,17,M,Bizerte,International,Medium,PhD,13484.0,2021-09-19,2025,96,11.37,0.942,6.82,0,Home+Mobile,9.89,9.05,3.77,16.0,15.25,8.14,D,D,B,D,2.49,4.69,6.47,4.03,Letters,2.0
S100204,18,F,Bizerte,Vocational,Medium,Bachelor,31360.0,2022-01-07,2026,228,15.27,0.869,8.49,1,Mobile only,18.84,13.95,8.18,12.16,10.86,10.9,A,B,C,C,8.36,6.88,3.89,4.22,Science,3.0
S101441,16,F,Nabeul,Vocational,Medium,Primary,24740.0,2022-03-02,2026,382,10.04,0.851,1.51,3,Mobile only,15.62,12.89,16.33,11.43,13.04,10.01,B,C,B,C,7.8,5.51,5.32,7.15,Science,2.0
S100830,17,F,Tozeur,Public,High,Master,17544.0,2023-11-29,2025,7,14.39,0.911,6.62,0,Home+Mobile,7.36,11.46,10.74,11.0,10.17,12.63,D,C,C,C,4.3,7.76,5.08,7.2,IT,2.0
S100426,17,M,Tozeur,Public,Low,Secondary,21629.0,2022-10-03,2025,476,16.27,0.85,5.26,1,School only,13.09,4.55,7.69,10.04,10.6,12.46,B,D,C,C,5.45,,9.15,3.9,Engineering,3.0
